0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
276.0,548.0,1095.0,662.0,1114.0,2512.0,1187.0,745.0,2044.0,1361.0,1246.0,762.0,3217.0,851.0,2027.0,2027.0,2261.0,2779.0,856.0,1921.0,689.0,2171.0,370.0,881.0,889.0,2057.0,818.0,1653.0,1180.0,1476.0,1777.0,3017.0,361.0,716.0,1510.0,2095.0,2635.0,1381.0,2054.0,1588.0,1035.0,2696.0,2286.0,1980.0,2737.0,6842.0,2285.0,3018.0,3720.0,488.0,2716.0,1298.0,2803.0,2020.0,2989.0,2854.0,1474.0,1459.0,1578.0,2725.0,1232.0,1839.0,1487.0,1833.0,810.0,1476.0,1863.0,663.0,602.0,2423.0,999.0,185.0,39.0,100.0,108.0,86.0,348.0,106.0,75.0,102.0,141.0,201.0,177.0,63.0,142.0,442.0,58.0,84.0,53.0,63.0,60.0,59.0,44.0,81.0,59.0,93.0,59.0,54.0,52.0,73.0,104.0,283.0,72.0,37.0,76.0,45.0,63.0,70.0,70.0,63.0,55.0,54.0,55.0,67.0,37.0,89.0,57.0,82.0,36.0,52.0,64.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834.0,841.0,1745.0,439.0,1919.0,279.0,2707.0,656.0,1556.0,2013.0,1639.0,993.0,2317.0,1194.0,2553.0,1806.0,1790.0,1493.0,1737.0,1558.0,912.0,1984.0,603.0,969.0,1088.0,1243.0,1614.0,719.0,1644.0,1019.0,2095.0,1053.0,2295.0,2429.0,1441.0,1392.0,1002.0,2515.0,745.0,1335.0,2832.0,544.0,2222.0,3045.0,432.0,3457.0,705.0,1748.0,519.0,3569.0,878.0,1766.0,1559.0,539.0,3134.0,2411.0,2922.0,571.0,2858.0,709.0,1734.0,501.0,2782.0,5059.0,4428.0,942.0,1756.0,1915.0,1749.0,3742.0,1883.0,787.0,462.0,1633.0,1382.0,834.0,429.0,423.0,451.0,647.0,242.0,249.0,101.0,56.0,66.0,50.0,78.0,52.0,67.0,183.0,145.0,74.0,140.0,210.0,84.0,46.0,56.0,62.0,62.0,52.0,79.0,52.0,63.0,60.0,73.0,52.0,64.0,52.0,55.0,54.0,55.0,54.0,71.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340.0,1593.0,774.0,3654.0,368.0,3681.0,1244.0,3527.0,2534.0,2910.0,3386.0,2157.0,1687.0,1451.0,3220.0,1244.0,715.0,2287.0,361.0,2035.0,1366.0,2784.0,753.0,1363.0,3005.0,2232.0,1118.0,1429.0,1729.0,1492.0,4392.0,3502.0,791.0,3455.0,852.0,2615.0,1885.0,2010.0,1928.0,1461.0,1489.0,709.0,2472.0,1867.0,773.0,4142.0,2704.0,1427.0,1584.0,2668.0,3228.0,1614.0,1327.0,204.0,2295.0,3046.0,1108.0,2688.0,730.0,764.0,2951.0,2567.0,1215.0,944.0,2554.0,3782.0,2454.0,2597.0,1945.0,2592.0,1958.0,1379.0,3365.0,1117.0,1159.0,2570.0,715.0,3280.0,1538.0,1449.0,1542.0,776.0,2753.0,1434.0,464.0,142.0,650.0,159.0,143.0,78.0,53.0,60.0,59.0,46.0,58.0,47.0,72.0,65.0,68.0,66.0,95.0,56.0,101.0,75.0,34.0,74.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242.0,111.0,1856.0,1645.0,1156.0,1250.0,1277.0,929.0,1123.0,2089.0,1267.0,2961.0,1693.0,2127.0,1933.0,1691.0,1642.0,972.0,2573.0,1576.0,1003.0,1092.0,1374.0,3101.0,1865.0,729.0,1574.0,1469.0,1709.0,1334.0,3059.0,625.0,1697.0,1928.0,1569.0,1723.0,2023.0,1180.0,1545.0,1984.0,2730.0,1628.0,2939.0,1553.0,1808.0,1640.0,1645.0,1277.0,2255.0,1675.0,1950.0,1039.0,2837.0,1896.0,1376.0,1122.0,3626.0,1238.0,1103.0,1647.0,1948.0,3255.0,3774.0,1582.0,1673.0,948.0,2816.0,3449.0,2467.0,891.0,3092.0,1524.0,2946.0,1224.0,1155.0,1867.0,5351.0,2047.0,2888.0,1140.0,2907.0,523.0,2080.0,565.0,2026.0,1075.0,381.0,426.0,1565.0,757.0,268.0,95.0,84.0,64.0,99.0,61.0,82.0,71.0,63.0,67.0,91.0,48.0,102.0,67.0,74.0,66.0,100.0,71.0,71.0,71.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543.0,665.0,421.0,1060.0,1398.0,2088.0,1084.0,2261.0,2864.0,1817.0,378.0,1766.0,3204.0,1776.0,921.0,2730.0,3244.0,729.0,1170.0,386.0,852.0,5808.0,2265.0,2468.0,2080.0,1616.0,1165.0,744.0,1100.0,3057.0,2385.0,802.0,1824.0,1716.0,3130.0,1844.0,3475.0,887.0,446.0,1396.0,1855.0,2070.0,1934.0,1371.0,711.0,1657.0,2623.0,2674.0,1267.0,411.0,1856.0,1905.0,3477.0,2109.0,2504.0,1342.0,3646.0,1634.0,2360.0,1896.0,1213.0,1683.0,2664.0,3364.0,1884.0,2976.0,1389.0,2664.0,1149.0,2015.0,2775.0,1680.0,2583.0,813.0,1660.0,1858.0,2643.0,1115.0,1043.0,3420.0,2185.0,934.0,213.0,404.0,303.0,180.0,102.0,77.0,67.0,94.0,102.0,370.0,325.0,136.0,181.0,57.0,385.0,266.0,47.0,81.0,52.0,97.0,69.0,47.0,79.0,57.0,58.0,84.0,53.0,67.0,59.0,65.0,60.0,48.0,50.0,66.0,54.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530.0,172.0,1311.0,655.0,3216.0,1203.0,1140.0,1785.0,1925.0,1534.0,1904.0,1718.0,1521.0,928.0,748.0,1757.0,1337.0,1802.0,2133.0,1589.0,1344.0,1093.0,1052.0,864.0,2557.0,1348.0,1740.0,1393.0,1403.0,1927.0,1017.0,2942.0,1469.0,1133.0,687.0,972.0,1338.0,1831.0,1685.0,2019.0,1923.0,601.0,2777.0,1695.0,765.0,2148.0,1567.0,2286.0,1528.0,1494.0,921.0,475.0,1791.0,1944.0,1025.0,1804.0,766.0,1316.0,2271.0,1137.0,3028.0,752.0,3277.0,1496.0,3047.0,1459.0,1698.0,867.0,3560.0,938.0,2483.0,719.0,969.0,1586.0,2154.0,3576.0,1136.0,861.0,4572.0,886.0,1262.0,854.0,240.0,651.0,988.0,2288.0,1854.0,1040.0,346.0,148.0,444.0,258.0,378.0,94.0,86.0,55.0,124.0,131.0,176.0,348.0,225.0,167.0,61.0,71.0,130.0,48.0,57.0,59.0,77.0,85.0,36.0,59.0,69.0,87.0,58.0,83.0,58.0,55.0,59.0,69.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709.0,43.0,1026.0,1698.0,689.0,1405.0,970.0,2079.0,2633.0,1961.0,2004.0,630.0,1326.0,2433.0,1544.0,1648.0,1360.0,1954.0,1804.0,2759.0,1440.0,628.0,1700.0,497.0,2745.0,1722.0,2127.0,1239.0,2296.0,2345.0,489.0,2528.0,2386.0,2607.0,950.0,2537.0,2583.0,500.0,1687.0,1125.0,2686.0,2154.0,746.0,1871.0,1074.0,1123.0,1756.0,4074.0,725.0,1437.0,869.0,1995.0,1548.0,1688.0,1648.0,1417.0,2283.0,803.0,2389.0,2393.0,2044.0,689.0,2122.0,2653.0,1124.0,1846.0,1973.0,1031.0,3179.0,2391.0,1565.0,761.0,1652.0,762.0,727.0,1834.0,1280.0,1603.0,460.0,681.0,294.0,268.0,1096.0,563.0,256.0,120.0,88.0,51.0,97.0,48.0,86.0,59.0,77.0,60.0,96.0,47.0,64.0,61.0,55.0,61.0,51.0,62.0,87.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078.0,554.0,825.0,612.0,2318.0,2547.0,2132.0,526.0,4335.0,1431.0,3853.0,527.0,1950.0,1419.0,2064.0,1261.0,1108.0,1284.0,1118.0,1077.0,2202.0,2423.0,1450.0,1492.0,952.0,1568.0,1147.0,1053.0,2822.0,786.0,2479.0,2779.0,579.0,1097.0,1435.0,2132.0,1075.0,2293.0,1887.0,623.0,1445.0,1766.0,647.0,1106.0,2047.0,1845.0,1461.0,1810.0,2371.0,711.0,1046.0,2811.0,1699.0,1553.0,1764.0,1841.0,361.0,1168.0,1837.0,1046.0,1811.0,2084.0,1841.0,1670.0,532.0,2684.0,316.0,2500.0,1418.0,1419.0,709.0,966.0,1997.0,1051.0,421.0,450.0,257.0,152.0,913.0,473.0,620.0,266.0,172.0,84.0,51.0,67.0,197.0,76.0,61.0,320.0,129.0,50.0,168.0,80.0,59.0,62.0,61.0,51.0,48.0,56.0,59.0,51.0,78.0,90.0,59.0,64.0,54.0,51.0,40.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429.0,105.0,1464.0,228.0,1702.0,453.0,2693.0,1160.0,3496.0,3717.0,1299.0,2831.0,1526.0,2258.0,750.0,2543.0,453.0,3482.0,722.0,1914.0,1328.0,400.0,964.0,617.0,1518.0,912.0,1545.0,2122.0,1112.0,2257.0,1990.0,1645.0,4949.0,1076.0,1625.0,1360.0,674.0,4688.0,1619.0,890.0,1599.0,291.0,1526.0,2479.0,1577.0,2996.0,1587.0,621.0,852.0,1221.0,1444.0,1192.0,1848.0,573.0,3070.0,2263.0,1253.0,1121.0,1935.0,815.0,1718.0,1971.0,739.0,1426.0,817.0,1259.0,908.0,2930.0,1687.0,1062.0,1519.0,1866.0,1015.0,887.0,2776.0,1840.0,1170.0,1874.0,1498.0,2291.0,4315.0,902.0,1501.0,953.0,1301.0,1121.0,2710.0,304.0,2499.0,3429.0,630.0,3359.0,1504.0,384.0,125.0,118.0,100.0,95.0,52.0,88.0,62.0,73.0,80.0,52.0,74.0,87.0,52.0,84.0,64.0,97.0,53.0,108.0,58.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298.0,283.0,1861.0,519.0,945.0,921.0,1306.0,2304.0,256.0,3618.0,2029.0,2152.0,1411.0,5496.0,1471.0,1686.0,798.0,1210.0,1073.0,1064.0,3389.0,1297.0,2429.0,1317.0,2666.0,1408.0,1553.0,980.0,1822.0,652.0,1969.0,1214.0,1011.0,523.0,1976.0,2386.0,2327.0,947.0,4261.0,1860.0,1773.0,1544.0,1268.0,1662.0,1262.0,1493.0,1584.0,1079.0,1083.0,932.0,3570.0,2158.0,1484.0,668.0,585.0,1071.0,1035.0,1328.0,1230.0,809.0,1967.0,2270.0,1215.0,2953.0,1763.0,870.0,1277.0,3131.0,1585.0,1494.0,1847.0,794.0,831.0,1761.0,1294.0,3524.0,1050.0,2678.0,1064.0,1246.0,1354.0,1052.0,1722.0,2595.0,1708.0,826.0,1640.0,1279.0,2240.0,2341.0,1585.0,697.0,853.0,1363.0,1433.0,184.0,154.0,235.0,175.0,98.0,74.0,54.0,81.0,63.0,53.0,72.0,118.0,92.0,63.0,81.0,71.0,82.0,94.0,54.0,55.0,53.0,68.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,170.0,593.0,1061.0,652.0,1843.0,1228.0,1392.0,1473.0,1444.0,5144.0,3976.0,2126.0,1830.0,2387.0,2774.0,2770.0,2161.0,1900.0,3463.0,1708.0,1029.0,1174.0,2173.0,857.0,5372.0,623.0,1575.0,1707.0,840.0,1848.0,1641.0,1620.0,2987.0,732.0,1265.0,1121.0,1412.0,333.0,1183.0,1291.0,3063.0,3289.0,1184.0,1326.0,888.0,1495.0,1257.0,1412.0,1467.0,1666.0,719.0,814.0,2549.0,1726.0,2628.0,1211.0,1262.0,408.0,1546.0,664.0,521.0,2691.0,1479.0,3844.0,1725.0,1971.0,1138.0,779.0,2285.0,2068.0,1358.0,468.0,486.0,2908.0,2150.0,2005.0,1685.0,1383.0,1051.0,1658.0,996.0,3250.0,567.0,1121.0,1357.0,3077.0,255.0,3825.0,1594.0,999.0,734.0,1199.0,877.0,1926.0,1150.0,579.0,2031.0,1267.0,369.0,1537.0,1196.0,2133.0,1013.0,374.0,265.0,1736.0,902.0,240.0,114.0,99.0,101.0,403.0,170.0,180.0,281.0,139.0,348.0,479.0,111.0,89.0,252.0,112.0,98.0,86.0,104.0,535.0,106.0,94.0,69.0,80.0,224.0,91.0,65.0,44.0,64.0,75.0,43.0,49.0,55.0,86.0,36.0,98.0,62.0,46.0,79.0,46.0,69.0,49.0,57.0,57.0,64.0
305.0,43.0,461.0,805.0,1332.0,1013.0,1613.0,1292.0,2218.0,629.0,2758.0,1595.0,4060.0,1876.0,3098.0,428.0,1575.0,2768.0,1802.0,1023.0,1166.0,1773.0,600.0,897.0,745.0,3792.0,1118.0,1516.0,1768.0,390.0,3084.0,1226.0,1167.0,2792.0,1180.0,1952.0,1780.0,652.0,2089.0,898.0,2117.0,3187.0,751.0,1462.0,613.0,2084.0,505.0,2304.0,1231.0,2292.0,978.0,2879.0,597.0,625.0,2503.0,2267.0,1699.0,3344.0,875.0,2829.0,516.0,1002.0,1468.0,2372.0,1064.0,1145.0,2138.0,920.0,4523.0,119.0,2827.0,504.0,1400.0,4856.0,946.0,1664.0,819.0,1646.0,410.0,3968.0,1480.0,2386.0,3587.0,1085.0,2148.0,3948.0,1522.0,3623.0,1149.0,2117.0,492.0,2286.0,937.0,2491.0,852.0,800.0,2335.0,1846.0,1894.0,3785.0,2307.0,811.0,722.0,1333.0,821.0,241.0,178.0,57.0,1096.0,608.0,321.0,188.0,76.0,183.0,58.0,107.0,113.0,366.0,80.0,38.0,187.0,137.0,48.0,84.0,58.0,107.0,45.0,65.0,44.0,70.0,96.0,57.0,40.0,73.0,46.0,91.0,84.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,1046.0,296.0,1238.0,3047.0,934.0,2148.0,121.0,4668.0,175.0,3875.0,477.0,3293.0,1821.0,1024.0,1843.0,2985.0,976.0,1779.0,626.0,968.0,1820.0,629.0,3264.0,600.0,2486.0,800.0,2345.0,1391.0,1576.0,1797.0,1256.0,1129.0,1734.0,915.0,4812.0,1627.0,4455.0,1276.0,2169.0,1874.0,1137.0,2961.0,1626.0,1753.0,1252.0,719.0,921.0,3060.0,1750.0,4100.0,1456.0,2066.0,587.0,3144.0,2040.0,3141.0,775.0,1344.0,2482.0,2044.0,714.0,1299.0,1010.0,797.0,1223.0,2195.0,1582.0,1309.0,944.0,1800.0,2792.0,1565.0,2650.0,1395.0,696.0,939.0,2648.0,1159.0,1600.0,4631.0,1661.0,2677.0,1907.0,2261.0,3652.0,2378.0,1509.0,8551.0,3136.0,1023.0,309.0,1575.0,1196.0,976.0,3816.0,1756.0,1291.0,852.0,1881.0,1090.0,452.0,3836.0,1718.0,934.0,395.0,2486.0,1090.0,804.0,117.0,111.0,74.0,70.0,109.0,106.0,92.0,65.0,344.0,167.0,52.0,96.0,143.0,58.0,74.0,105.0,102.0,125.0,47.0,64.0,65.0,90.0,89.0,68.0,51.0,98.0,60.0,47.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470.0,341.0,766.0,1283.0,527.0,1023.0,657.0,1275.0,2230.0,1028.0,3204.0,2245.0,612.0,1658.0,1298.0,1205.0,4613.0,141.0,2503.0,881.0,1564.0,311.0,2352.0,1142.0,857.0,3553.0,3453.0,1575.0,1118.0,1358.0,979.0,1224.0,1272.0,2022.0,924.0,979.0,1321.0,592.0,2012.0,593.0,1023.0,1112.0,355.0,1660.0,811.0,1700.0,1683.0,1113.0,1859.0,2670.0,1425.0,1174.0,1826.0,1002.0,1858.0,3430.0,1116.0,2114.0,816.0,1914.0,1112.0,1783.0,1465.0,2788.0,986.0,2370.0,2453.0,580.0,1460.0,1211.0,3382.0,3867.0,386.0,1390.0,1322.0,2923.0,2177.0,503.0,2336.0,994.0,1023.0,3527.0,1638.0,2074.0,959.0,685.0,1357.0,812.0,1217.0,1486.0,2505.0,1259.0,863.0,2065.0,1219.0,986.0,1025.0,1834.0,3022.0,557.0,775.0,230.0,158.0,117.0,126.0,100.0,132.0,165.0,355.0,173.0,167.0,157.0,72.0,275.0,279.0,147.0,116.0,169.0,42.0,69.0,83.0,58.0,65.0,84.0,63.0,67.0,74.0,75.0,79.0,72.0,49.0,57.0,74.0,35.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
